鞍山	鞍山恒大名都	6188	元/m²	均价 6188 元/m²
鞍山	鞍山恒大绿洲	5370	元/m²	均价 5370 元/m²
上海	恒大帝景			售价待定 周边均价 49533 元/m² 400-890-2828 转 91579
上海	恒大御景湾	41000	元/m²起	最低 41000 元/m²起
上海	恒大御澜庭	33000	元/m²	均价 33000 元/m²
上海	恒大佘山首府	510	万元/套起	最低 510 万元/套起
上海	恒大海上威尼斯	8500	元/m²起	最低 8500 元/m²起
北京	恒大丽宫	8500	万元/套起	最低 8500 万元/套起
北京	恒大山水城			售价待定 周边均价 17000 元/m² 400-890-2828 转 62580
北京	恒大海上帝景	16000	元/m²起	最低 16000 元/m²起
北京	京北恒大国际文化城			售价待定 周边均价 10130 元/m² 400-890-2828 转 29430
北京	北京恒大城市广场领世...			售价待定 周边均价 65000 元/m² 400-890-2828 转 27954
北京	鲁能泰山7号别墅	1500	万元/套起	最低 1500 万元/套起
北京	恒大御景湾	6250	元/m²	均价 6250 元/m²
北京	恒大翡翠华庭	6600	元/m²	均价 6600 元/m²
北京	北京恒大翡翠华庭	17000	元/m²	均价 17000 元/m²
北京	鲁能7号院水岸公馆	22000	元/m²	均价 22000 元/m²
北京	鲁能7号院溪园	23576	元/m²	均价 23576 元/m²
包头	恒大名都	8200	元/m²	均价 8200 元/m²
包头	恒大帝景	8500	元/m²	均价 8500 元/m²
包头	恒大天玺	7500	元/m²	均价 7500 元/m²
包头	恒大翡翠华庭			售价待定 周边均价 7300 元/m² 400-890-2828 转 62366
蚌埠	恒大翡翠华庭	7000	元/m²	均价 7000 元/m²
蚌埠	恒大御景湾	6800	元/m²	均价 6800 元/m²
本溪	恒大绿洲	5200	元/m²	均价 5200 元/m²
北海	恒大海上帝景	9800	元/m²	均价 9800 元/m²
北海	北海恒大名都	8200	元/m²	均价 8200 元/m²
北海	恒大御景半岛	9800	元/m²	均价 9800 元/m²
亳州	恒大城	5200	元/m²	均价 5200 元/m²
